Rk,Tm,AvAge,GP,W,L,OL,PTS,PTS%,GF,GA,SOW,SOL,SRS,SOS,GF/G,GA/G,PP,PPO,PP%,PPA,PPOA,PK%,SH,SHA,PIM/G,oPIM/G,S,S%,SA,SV%,SO
1,Florida Panthers,27.3,26,18,4,4,40,.769,98,70,1,2,1.03,-0.01,3.77,2.69,15,81,18.52,15,82,81.71,2,3,8.5,9.8,944,10.4,799,.912,0
2,Minnesota Wild,29.1,26,19,6,1,39,.750,98,73,3,1,0.98,-0.06,3.77,2.81,14,84,16.67,17,91,81.32,1,0,10.4,9.3,873,11.2,816,.911,0
3,New York Rangers,26.3,26,18,5,3,39,.750,78,67,1,0,0.30,-0.16,3.00,2.58,19,77,24.68,13,79,83.54,1,1,10.4,10.0,743,10.5,836,.920,2
4,Washington Capitals,28.7,27,16,5,6,38,.704,93,68,1,1,0.93,0.01,3.44,2.52,13,76,17.11,11,65,83.08,4,3,6.2,7.4,832,11.2,764,.911,4
5,Toronto Maple Leafs,28.0,28,18,8,2,38,.679,88,70,0,1,0.62,0.01,3.14,2.50,23,79,29.11,15,79,81.01,1,0,7.5,7.1,974,9.0,871,.920,4
6,Tampa Bay Lightning,29.1,26,17,5,4,38,.731,87,68,2,2,0.78,0.05,3.35,2.62,15,76,19.74,14,76,81.58,2,0,10.4,9.4,767,11.3,788,.914,2
7,Carolina Hurricanes,28.0,25,18,6,1,37,.740,81,55,0,0,0.88,-0.16,3.24,2.20,16,80,20.00,12,97,87.63,1,2,10.2,8.0,830,9.8,679,.919,1
8,Calgary Flames,28.5,27,15,6,6,36,.667,83,58,2,0,0.93,-0.07,3.07,2.15,17,76,22.37,12,82,85.37,2,1,8.9,7.7,921,9.0,794,.927,7
9,Anaheim Ducks,27.6,28,15,8,5,35,.625,89,76,2,3,0.51,0.09,3.18,2.71,20,76,26.32,10,73,86.30,2,3,8.8,10.2,882,10.1,915,.917,3
10,Nashville Predators,27.3,27,16,10,1,33,.611,79,75,1,0,0.06,-0.12,2.93,2.78,18,75,24.00,19,86,77.91,0,1,11.2,10.7,809,9.8,799,.906,1
11,Edmonton Oilers,28.2,25,16,9,0,32,.640,87,77,2,0,0.31,-0.17,3.48,3.08,26,80,32.50,13,79,83.54,4,1,8.4,7.3,812,10.7,844,.909,0
12,St. Louis Blues,28.4,26,14,8,4,32,.615,88,73,2,2,0.62,0.04,3.38,2.81,21,74,28.38,13,73,82.19,3,3,8.6,8.0,852,10.3,833,.912,2
13,Colorado Avalanche,27.7,24,15,7,2,32,.667,105,82,1,0,0.96,-0.04,4.38,3.42,22,95,23.16,17,71,76.06,6,2,10.1,12.6,827,12.7,736,.889,0
14,Winnipeg Jets,27.8,27,13,9,5,31,.574,81,73,1,3,0.28,0.06,3.00,2.70,17,84,20.24,24,78,69.23,2,2,8.0,10.2,886,9.1,853,.914,1
15,Pittsburgh Penguins,28.7,26,13,8,5,31,.596,78,66,1,4,0.35,0.00,3.00,2.54,11,73,15.07,5,64,92.19,0,2,6.3,7.4,921,8.5,787,.916,3
16,Vegas Golden Knights,28.2,26,15,11,0,30,.577,88,81,1,0,0.23,-0.08,3.38,3.12,9,65,13.85,16,74,78.38,6,2,7.9,7.3,876,10.0,835,.903,0
17,Detroit Red Wings,26.8,28,13,12,3,29,.518,77,96,1,0,-0.73,-0.09,2.75,3.43,12,74,16.22,19,81,76.54,0,2,8.3,8.0,810,9.5,937,.898,0
18,San Jose Sharks,28.5,27,14,12,1,29,.537,73,75,0,1,-0.02,0.09,2.70,2.78,14,70,20.00,10,69,85.51,2,3,7.7,7.4,783,9.3,818,.908,2
